timestamp,wind speed
"2020-02-20",2.0483
"2020-02-21",1.9604
"2020-02-22",3.126
"2020-02-23",3.4605
"2020-02-24",2.7103
"2020-02-25",1.6672
"2020-02-26",1.5593
"2020-02-27",2.2679
"2020-02-28",2.383
"2020-02-29",0.8122
"2020-03-01",0.5491
"2020-03-02",0.4948
"2020-03-03",1.0578
"2020-03-04",0.7161
"2020-03-05",0.6187
"2020-03-06",1.4927
"2020-03-07",1.1945
"2020-03-08",2.0354
"2020-03-09",1.1099
"2020-03-10",1.4593
"2020-03-11",2.2663
"2020-03-12",2.308
"2020-03-13",1.3584
"2020-03-14",1.2918
"2020-03-15",1.9445
"2020-03-16",1.8871
"2020-03-17",1.991
"2020-03-18",1.9615
"2020-03-19",2.1952
"2020-03-20",2.5151
"2020-03-21",2.509
"2020-03-22",2.1659
"2020-03-23",1.7209
"2020-03-24",1.7602
"2020-03-25",1.3524
"2020-03-26",0.6306
"2020-03-27",0.1931
"2020-03-28",0.1028
"2020-03-29",0.5391
"2020-03-30",1.8794
"2020-03-31",2.1682
"2020-04-01",2.4407
"2020-04-02",2.5399
"2020-04-03",2.2276
"2020-04-04",1.9643
"2020-04-05",1.9895
"2020-04-06",1.823
"2020-04-07",2.0098
"2020-04-08",2.1789
"2020-04-09",2.0252
"2020-04-10",1.9922
"2020-04-11",1.225
"2020-04-12",1.1881
"2020-04-13",1.2548
"2020-04-14",0.3904
"2020-04-15",0.4006
"2020-04-16",1.0341
"2020-04-17",1.2268
"2020-04-18",0.6014
"2020-04-19",1.0287
"2020-04-20",1.0818
"2020-04-21",1.0912
"2020-04-22",0.5311
"2020-04-23",0.9841
"2020-04-24",0.4575
"2020-04-25",0.5143
"2020-04-26",0.6152
"2020-04-27",1.8588
"2020-04-28",1.5971
"2020-04-29",0.967
"2020-04-30",0.7431
"2020-05-01",1.4659
"2020-05-02",0.8194
"2020-05-03",0.334
"2020-05-04",0.8318
"2020-05-05",0.877
"2020-05-06",1.1912
"2020-05-07",1.6146
"2020-05-08",1.5438
"2020-05-09",1.0953
"2020-05-10",1.0943
"2020-05-11",1.1991
"2020-05-12",0.9307
"2020-05-13",0.6258
"2020-05-14",0.6116
"2020-05-15",0.6489
"2020-05-16",0.5654
"2020-05-17",1.5278
"2020-05-18",1.3782
"2020-05-19",1.3047
"2020-05-20",0.7593
"2020-05-21",1.569
"2020-05-22",1.2642
"2020-05-23",1.155
"2020-05-24",0.9752
"2020-05-25",1.5776
"2020-05-26",1.451
"2020-05-27",1.4198
"2020-05-28",1.7839
"2020-05-29",1.4904
"2020-05-30",1.1897
"2020-05-31",0.8069
"2020-06-01",0.8315
"2020-06-02",1.3415
"2020-06-03",1.2773
"2020-06-04",0.6404
"2020-06-05",0.7059
"2020-06-06",0.6734
"2020-06-07",1.3441
"2020-06-08",1.396
"2020-06-09",1.6505
"2020-06-10",1.3488
"2020-06-11",0.3238
"2020-06-12",0.5499
"2020-06-13",0.6894
"2020-06-14",1.072
"2020-06-15",0.7376
"2020-06-16",0.7065
"2020-06-17",0.8667
"2020-06-18",0.984
"2020-06-19",0.6323
"2020-06-20",1.2719
"2020-06-21",1.3214
"2020-06-22",0.404
"2020-06-23",0.9876
"2020-06-24",1.4503
"2020-06-25",1.4568
"2020-06-26",1.3601
"2020-06-27",1.067
"2020-06-28",1.4906
"2020-06-29",1.5112
"2020-06-30",1.2956
"2020-07-01",0.8767
"2020-07-02",0.8068
"2020-07-03",0.8884
"2020-07-04",1.1182
"2020-07-05",1.0637
"2020-07-06",0.8691
"2020-07-07",0.7423
"2020-07-08",1.2444
"2020-07-09",1.8756
"2020-07-10",2.0978
"2020-07-11",1.1067
"2020-07-12",1.0467
"2020-07-13",1.1951
"2020-07-14",1.479
"2020-07-15",1.5698
