timestamp,precipitation
"Dec 14, 2019",0.014
"Dec 15, 2019",0
"Dec 16, 2019",0
"Dec 17, 2019",0
"Dec 18, 2019",0
"Dec 19, 2019",0
"Dec 20, 2019",0
"Dec 21, 2019",18.29
"Dec 22, 2019",0
"Dec 23, 2019",0
"Dec 24, 2019",0.69
"Dec 25, 2019",0
"Dec 26, 2019",4.125
"Dec 27, 2019",14.247
"Dec 28, 2019",34.265
"Dec 29, 2019",2.072
"Dec 30, 2019",1.683
"Dec 31, 2019",0
"Jan 1, 2020",0
"Jan 2, 2020",0
"Jan 3, 2020",0
"Jan 4, 2020",0
"Jan 5, 2020",0
"Jan 6, 2020",0
"Jan 7, 2020",21.071
"Jan 8, 2020",0.598
"Jan 9, 2020",0
"Jan 10, 2020",0
"Jan 11, 2020",0
"Jan 12, 2020",7.257
"Jan 13, 2020",12.268
"Jan 14, 2020",0
"Jan 15, 2020",0
"Jan 16, 2020",0
"Jan 17, 2020",0
"Jan 18, 2020",0.444
"Jan 19, 2020",0
"Jan 20, 2020",0
"Jan 21, 2020",0
"Jan 22, 2020",1.48
"Jan 23, 2020",0
"Jan 24, 2020",0
"Jan 25, 2020",37.386
"Jan 26, 2020",34.72
"Jan 27, 2020",1.206
"Jan 28, 2020",0
"Jan 29, 2020",2.428
"Jan 30, 2020",0
"Jan 31, 2020",23.062
"Feb 1, 2020",27.949
"Feb 2, 2020",10.015
"Feb 3, 2020",0
"Feb 4, 2020",0
"Feb 5, 2020",0
"Feb 6, 2020",0
"Feb 7, 2020",0
"Feb 8, 2020",0
"Feb 9, 2020",0
"Feb 10, 2020",0
"Feb 11, 2020",0
"Feb 12, 2020",0
"Feb 13, 2020",0
"Feb 14, 2020",0
"Feb 15, 2020",0
"Feb 16, 2020",0
"Feb 17, 2020",0
"Feb 18, 2020",0
"Feb 19, 2020",0
"Feb 20, 2020",0
"Feb 21, 2020",0
"Feb 22, 2020",0
"Feb 23, 2020",0
"Feb 24, 2020",0
"Feb 25, 2020",0.232
"Feb 26, 2020",9.953
"Feb 27, 2020",6.801
"Feb 28, 2020",0
"Feb 29, 2020",5.685
"Mar 1, 2020",12.358
"Mar 2, 2020",18.597
"Mar 3, 2020",0.046
"Mar 4, 2020",3.614
"Mar 5, 2020",4.631
"Mar 6, 2020",0
"Mar 7, 2020",5.867
"Mar 8, 2020",5.703
"Mar 9, 2020",10.85
"Mar 10, 2020",0.667
"Mar 11, 2020",0
"Mar 12, 2020",0
"Mar 13, 2020",0
"Mar 14, 2020",0
"Mar 15, 2020",0
"Mar 16, 2020",0
"Mar 17, 2020",0.052
"Mar 18, 2020",1.356
"Mar 19, 2020",0
"Mar 20, 2020",0
"Mar 21, 2020",0
"Mar 22, 2020",0
"Mar 23, 2020",0
"Mar 24, 2020",0
"Mar 25, 2020",2.276
"Mar 26, 2020",42.461
"Mar 27, 2020",29.75
"Mar 28, 2020",22.978
"Mar 29, 2020",16.912
"Mar 30, 2020",2.306
"Mar 31, 2020",0.002
"Apr 1, 2020",0
"Apr 2, 2020",0
"Apr 3, 2020",0
"Apr 4, 2020",0
"Apr 5, 2020",0
"Apr 6, 2020",0
"Apr 7, 2020",0
"Apr 8, 2020",0
"Apr 9, 2020",0
"Apr 10, 2020",0
"Apr 11, 2020",0
"Apr 12, 2020",0
"Apr 13, 2020",5.152
"Apr 14, 2020",2.036
"Apr 15, 2020",20.941
"Apr 16, 2020",12.853
"Apr 17, 2020",13.423
"Apr 18, 2020",37.473
"Apr 19, 2020",6.181
"Apr 20, 2020",47.187
"Apr 21, 2020",22.483
"Apr 22, 2020",32.52
"Apr 23, 2020",14.024
"Apr 24, 2020",31.602
"Apr 25, 2020",23.064
"Apr 26, 2020",38.303
"Apr 27, 2020",0
"Apr 28, 2020",0
"Apr 29, 2020",0
"Apr 30, 2020",2.383
"May 1, 2020",0
"May 2, 2020",0
"May 3, 2020",0
"May 4, 2020",0
"May 5, 2020",0
"May 6, 2020",21.11
"May 7, 2020",0
"May 8, 2020",0
"May 9, 2020",1.191
"May 10, 2020",0
"May 11, 2020",0
"May 12, 2020",0
"May 13, 2020",0.085
"May 14, 2020",0
"May 15, 2020",4.319
"May 16, 2020",12.046
"May 17, 2020",0
"May 18, 2020",0
"May 19, 2020",0
"May 20, 2020",8.738
"May 21, 2020",8.21
"May 22, 2020",1.857
"May 23, 2020",3.914
"May 24, 2020",1.167
"May 25, 2020",0.935
"May 26, 2020",0.699
"May 27, 2020",0
"May 28, 2020",6.422
"May 29, 2020",7.251
"May 30, 2020",6.431
"May 31, 2020",0
"Jun 1, 2020",0.514
"Jun 2, 2020",1.747
"Jun 3, 2020",3.753
"Jun 4, 2020",0.796
"Jun 5, 2020",0.016
"Jun 6, 2020",0
"Jun 7, 2020",0
"Jun 8, 2020",0
"Jun 9, 2020",0
"Jun 10, 2020",0
"Jun 11, 2020",10.205
"Jun 12, 2020",10.292
"Jun 13, 2020",12.796
"Jun 14, 2020",5.026
"Jun 15, 2020",1.825
"Jun 16, 2020",0
"Jun 17, 2020",0
"Jun 18, 2020",0
"Jun 19, 2020",0
"Jun 20, 2020",0
"Jun 21, 2020",0
"Jun 22, 2020",0
"Jun 23, 2020",0
"Jun 24, 2020",0
"Jun 25, 2020",0
"Jun 26, 2020",0
"Jun 27, 2020",0
"Jun 28, 2020",0
"Jun 29, 2020",0
"Jun 30, 2020",0
"Jul 1, 2020",1.546
"Jul 2, 2020",0
"Jul 3, 2020",0
"Jul 4, 2020",0
"Jul 5, 2020",0.068
"Jul 6, 2020",0
"Jul 7, 2020",0
"Jul 8, 2020",0
"Jul 9, 2020",0
"Jul 10, 2020",0
"Jul 11, 2020",0
"Jul 12, 2020",0
"Jul 13, 2020",0
"Jul 14, 2020",0
"Jul 15, 2020",0
"Jul 16, 2020",4.963
"Jul 17, 2020",0.01
"Jul 18, 2020",0.005
"Jul 19, 2020",0.011
"Jul 20, 2020",0.016
"Jul 21, 2020",0.98
"Jul 22, 2020",0
"Jul 23, 2020",0
"Jul 24, 2020",0
"Jul 25, 2020",0
"Jul 26, 2020",0
"Jul 27, 2020",0
"Jul 28, 2020",4.062
"Jul 29, 2020",0
"Jul 30, 2020",0
"Jul 31, 2020",0
"Aug 1, 2020",3.396
"Aug 2, 2020",0
"Aug 3, 2020",0
"Aug 4, 2020",0
"Aug 5, 2020",0
"Aug 6, 2020",0
"Aug 7, 2020",3.411
"Aug 8, 2020",0
"Aug 9, 2020",0
"Aug 10, 2020",0
"Aug 11, 2020",3.35
"Aug 12, 2020",1.031
"Aug 13, 2020",0.184
"Aug 14, 2020",0
"Aug 15, 2020",0.202
"Aug 16, 2020",0
"Aug 17, 2020",0.598
"Aug 18, 2020",0
"Aug 19, 2020",0
"Aug 20, 2020",0
"Aug 21, 2020",0
"Aug 22, 2020",0
"Aug 23, 2020",0
"Aug 24, 2020",0
"Aug 25, 2020",0
"Aug 26, 2020",0
"Aug 27, 2020",0
"Aug 28, 2020",0
"Aug 29, 2020",0
"Aug 30, 2020",0
"Aug 31, 2020",0
"Sep 1, 2020",0
"Sep 2, 2020",0
"Sep 3, 2020",0
"Sep 4, 2020",0
"Sep 5, 2020",22.916
"Sep 6, 2020",0.264
"Sep 7, 2020",0
"Sep 8, 2020",0
"Sep 9, 2020",0
"Sep 10, 2020",0
"Sep 11, 2020",0
"Sep 12, 2020",0
"Sep 13, 2020",0
"Sep 14, 2020",0
"Sep 15, 2020",0
"Sep 16, 2020",0.182
"Sep 17, 2020",0.177
"Sep 18, 2020",0.693
"Sep 19, 2020",0.937
"Sep 20, 2020",0.474
"Sep 21, 2020",0
"Sep 22, 2020",0
"Sep 23, 2020",0
"Sep 24, 2020",0
"Sep 25, 2020",0.367
"Sep 26, 2020",1.838
"Sep 27, 2020",0
"Sep 28, 2020",0
"Sep 29, 2020",0
"Sep 30, 2020",1.144
"Oct 1, 2020",0
"Oct 2, 2020",0
"Oct 3, 2020",0
"Oct 4, 2020",0
"Oct 5, 2020",0
"Oct 6, 2020",0
"Oct 7, 2020",0
"Oct 8, 2020",0
"Oct 9, 2020",0
"Oct 10, 2020",0
"Oct 11, 2020",0
"Oct 12, 2020",0
"Oct 13, 2020",0
"Oct 14, 2020",0
"Oct 15, 2020",0
"Oct 16, 2020",0
"Oct 17, 2020",0
"Oct 18, 2020",0
"Oct 19, 2020",7.446
"Oct 20, 2020",0
"Oct 21, 2020",0
"Oct 22, 2020",0
"Oct 23, 2020",0
"Oct 24, 2020",0
"Oct 25, 2020",0
"Oct 26, 2020",6.201
"Oct 27, 2020",7.678
"Oct 28, 2020",12.451
"Oct 29, 2020",4.241
